producto_id	nombre	sku	nota_del_dueno
37337	MONARC- M 250 U. 1 X 1 AMPOLLA	HO1046	
37374	AGUA BIDESTILADA INYECTABLE	HO32804	
37375	AGUA DESTILADA ESTERIL SOLUCION INYECTABLE	HO1694	
37395	ALGIOL 5 MG X 30 COMPRIMIDOS RECUBIERTOS	ME42912	
37476	APIRET 120 MG / 5 ML SOLUCION ORAL	ME42864	
37477	APIRET 160 MG / 5 ML SOLUCION ORAL	ME42860	
37527	ATROBEL 10 MG / ML SOLUCION GOTAS REFORMULADO	ME40958	
37557	BENCIDAMINA CLORHIDRATO 0.15 % SOLUCION TOPICA BUCAL	ME29570	
37615	BROMEXINA CLORHIDRATO 4 MG / 5 ML JARABE	ME40260	
37742	CIFARCAINA AL 2 % X 2 AMPOLLAS	HO9190	
37743	CIFARCAINA AL 1 % SOLUCION INYECTABLE	HO9189	
37766	CITRATO DE CALCIO 1190 MG X 60 TABLETAS MASTICABLES SABOR A MANDARINA	ME36822/3	
37767	CITRATO DE CALCIO 1190 MG X 30 TABLETAS MASTICABLES SABOR A MANDARINA	ME36822/2	
37794	CLONIDINA CLORHIDRATO 0.150 MG / ML X 2 AMPOLLAS	HO31483/2	
37795	CLONIDINA CLORHIDRATO 0.150 MG / ML X 30 AMPOLLAS	HO31483/3	
37835	COMPLEJO DE VITAMINA B X 3 AMPOLLAS	HO1587	
37934	DICLOFENACO POTASICO 50 MG X 20 TABLETAS CON RECUBRIMIENTO ENTERICO	ME43099	
37994	DUVADILAN 10 MG X 30 COMPRIMIDOS	ME11176	
38008	ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 ML X 10 SUSPENSION ORAL	ME1103	
38091	FINASTERIDE 5 MG X 30 TABLETAS RECUBIERTAS	ME30089	
38092	NIAZOL 1 MG / ML X 10 SOLUCION NASAL	ME784	
38132	FOSFATO DE POTASIO MONOBASICO 1 MEQ / ML SOLUCION INYECTABLE I.V.	HO21515	
38173	GLUCONATO FERROSO (50 MG / 15 ML DE HIERRO ELEMENTAL) SOLUCION ORAL	ME37958	
38183	GYNODERAIN 0.6 G X 6 OVULOS	ME25838	
38198	BUTILBROMURO DE HIOSCINA 20 MG / ML SOLUCION INYECTABLE	HO35867	
38200	HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 G GEL	ME1384	
38298	KETOROLACO TROMETAMINA 30 MG / ML X 3 AMPOLLAS	HO42686	
38306	LACTBET 3000 U X 10 CAPSULAS	ME36925/2	
38307	LACTBET 3000 U X 20 CAPSULAS	ME36925/3	
38430	MATERNAVIT X 30 CAPSULAS BLANDAS	ME41135	
