origen,producto_id,nombre,molecula,estado,ref_id,ref_nombre,metodo,atc_id,resultado
conflictos,37510,ATAPEC 100 MG,quetiapina,enlace,2948,Quetiapina,exacto,5281,YA_EXISTIA
conflictos,38109,FLODONT 0.15%,bencidamina,enlace,416,Bencidamina,exacto,62,YA_EXISTIA
conflictos,38110,FLOMED 0.15% - 0.25%,bencidamina,enlace,416,Bencidamina,exacto,62,YA_EXISTIA
conflictos,38110,FLOMED 0.15% - 0.25%,cloruro de cetilpiridinio,enlace,3926,Cetilpiridinio Cloruro,alias_cima,1169,YA_EXISTIA
conflictos,38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,fosfato de sodio monobásico,enlace,1535,Fosfato Monosodio Dihidrato,alias_cima,,YA_EXISTIA
conflictos,38133,FOSFOLIT 21.6 G - 8.1 G / 45 ML,fosfato de sodio dibásico,enlace,1531,Fosfato Disodio,alias_cima,,YA_EXISTIA
conflictos,38183,GYNODERAIN 0.6 G,extracto acuoso de Triticum vulgare,candidata,,,sin_match_vademecum,,NO_ENLAZADO_CANDIDATA
conflictos,38183,GYNODERAIN 0.6 G,fenoxietanol,candidata,,,sin_match_vademecum,,NO_ENLAZADO_CANDIDATA
conflictos,38189,HEXANTFLEM 250 MG / 5 ML,carboximetilcisteína,enlace,3129,S-carboximetilcisteina,alias_cima,,YA_EXISTIA
conflictos,38240,ILANA 600 MG,isoconazol,enlace,4274,Isoconazol,exacto,2151,YA_EXISTIA
conflictos,38317,LENTOCILIN 6.3.3,penicilina G benzatínica,enlace,424,Bencilpenicilina-benzatina,alias_cima,3220,YA_EXISTIA
conflictos,38317,LENTOCILIN 6.3.3,penicilina G potásica,enlace,421,Bencilpenicilina Potasica,alias_cima,3220,YA_EXISTIA
conflictos,38317,LENTOCILIN 6.3.3,penicilina G procaínica,enlace,422,Bencilpenicilina Procaina,alias_cima,1729,YA_EXISTIA
conflictos,38318,LEPRIT 25 MG,levosulpirida,enlace,2077,Levosulpirida,exacto,5294,YA_EXISTIA
conflictos,38356,LIOLACTIL X 20 SOBRES,Lactobacillus casei variedad rhamnosus,enlace,1978,Lactobacillus Rhamnosus,alias_cima,,YA_EXISTIA
conflictos,38358,LIPACOMB 40 MG - 10 MG,ezetimiba,enlace,1379,Ezetimiba,exacto,2080,YA_EXISTIA
