producto_id,sku,nombre_comercial,nucleo,molecula,forma,laboratorio,categoria,fuente,gates,url_en_ledger,desc_candidata,foto_candidata
37296,ME4629/2,ACIDO FOLICO 5 MG X 10 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,lab_antiguo,cobeca,lab,no,ACIDO FOLICO TAB 5MG X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20331.jpg
37302,ME43094,ACIDO IBANDRONICO 150 MG X 1 TABLETA RECUBIERTA,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,TABLETAS,MASCOT HEALTH SERIES PVT. LTD.,lab_antiguo,cobeca,lab,no,AC IBANDRONICO TAB 150MG X1 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52763.jpg
37303,ME43992,ACIDO TRANEXAMICO 500 MG X 10 TABLETAS RECUBIERTAS,ACIDO TRANEXAMICO,Tranexamico Acido,TABLETAS,SHILPA PHARMA LIFESCIENCES LIMITED,lab_antiguo,cobeca,lab,no,AC TRANEXAMICO TAB 500MG X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53498.jpg
37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 20 TABLETAS RE,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,,TABLETAS,LABORATORIO LA SANTE C.A.,lab_antiguo,cobeca,lab,no,ACETAMINOFEN TAB 500MG X20 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7537.jpg
37323,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 MG-10 MG X 10 TABLETAS RE,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO,,TABLETAS,LABORATORIO LA SANTE C.A.,lab_antiguo,cobeca,lab,si,ACETAMINOFEN COMP 500MG X10 LETI,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22931.jpg
37325,ME40713,ACETAMINOFEN - CLORFENIRAMINA 125 MG - 1 MG / 5 ML JARABE,ACETAMINOFEN - CLORFENIRAMINA,,JARABE,SM PHARMA C.A.,lab_antiguo,cobeca,lab,no,ACETAMINOFEN/CLORF JBE 125/1MG/5ML BIOQ,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23925.jpg
37326,ME39115,ACETAMINOFEN - TRAMADOL 325 MG - 37.5 MG X 10 COMPRIMIDOS,ACETAMINOFEN - TRAMADOL,,COMPRIMIDOS,LABORATORIOS SPEFAR VENEZOLANOS S.A.,lab_antiguo,cobeca,lab,no,"ACETAMINOFEN/TRAM TAB 325/37,5 X10 CLX",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99582.jpg
37335,ME43512,ACICLOVIR CREMA 5 %,ACICLOVIR CREMA,Aciclovir - Parafina Blanda - Sodio Hidrogeno Carbonato,CREMA,JIANGXI SYNERGY PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,no,ACICLOVIR CREM 5% 20G CR DAC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54105.jpg
37347,HO44464,ACIDO ASCORBICO 500 MG / 5 ML SOLUCION INYECTABLE,ACIDO ASCORBICO,Ascorbico Acido,INYECTABLE,GUIZHOU TIANDI PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,no,ACIDO ASCORBICO AMP 500MG/5MLX10 CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23088.jpg
37350,HO3187/3,ACIDO FOLICO 10 MG / ML X 10 AMPOLLAS,ACIDO FOLICO,Folico Acido,INYECTABLE,MEGALABS S.A.,lab_antiguo,cobeca,lab,no,ACIDO FOLICO AMP 10MG/2ML X10 CR DIST,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22846.jpg
37356,ME4630/2,ACIDO FOLICO 10 MG X 10 COMPRIMIDOS,ACIDO FOLICO,Folico Acido,COMPRIMIDOS,MEGALABS S.A.,lab_antiguo,cobeca,lab,no,ACIDO FOLICO TAB 10MG X10 MEY,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20330.jpg
37367,ME44457,ACTUMIR DUO 12.5 MG-850 MG X 30 TABLETAS RECUBIERTAS,ACTUMIR DUO,Empagliflozina - Metformina,TABLETAS,LABORATORIOS FARMA S.A.,lab_antiguo,cobeca,lab,si,METFORMINA CLORHIDRATO TAB 850MG X30 PLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53284.jpg
37368,ME43334,ADAPALENO - CLINDAMICINA 0.1 % - 1 % GEL,ADAPALENO - CLINDAMICINA,Adapaleno,GEL,LABORATORIOS SPEFAR VENEZOLANOS S.A.,lab_antiguo,cobeca,lab,no,"ADAPALENO GEL TOP 0,1% 15G HM",https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52420.jpg
37374,HO32804,AGUA BIDESTILADA INYECTABLE,AGUA BIDESTILADA INYECTABLE,,INYECTABLE,LABORATORIO COFASA S.A.,lab_antiguo,cobeca,lab,no,AGUA OXIG ALVA AL 3% 1L,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28584.jpg
37375,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,,INYECTABLE,LABORATORIOS VALMOR C.A.,lab_antiguo,cobeca,lab,no,AGUA OXIG ALVA AL 3% 1L,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28584.jpg
37391,ME32131,ALENDRONATO SODICO 70 MG X 4 COMPRIMIDOS,ALENDRONATO SODICO,Alendronico Acido,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,lab_antiguo,cobeca,lab,no,ALENDRONATO SOD TAB 70MG X 4 ZUZU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50383.jpg
37420,HO26424,AMIKACINA 100 MG / 2 ML X 10 AMPOLLAS,AMIKACINA,,INYECTABLE,LABORATORIOS VALMOR C.A.,lab_antiguo,cobeca,lab,no,AMIKACINA INY IM/IV 100MG/2ML X10 KMP,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53493.jpg
37424,ME30206/4,AMLODIPINA 10 MG X 60 COMPRIMIDOS,AMLODIPINA,Amlodipino,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,lab_antiguo,cobeca,lab,no,AMLODIPINA COMP 10MG X60 DORO,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20112.jpg
37425,ME30206/2,AMLODIPINA 10 MG X 10 COMPRIMIDOS,AMLODIPINA,Amlodipino,COMPRIMIDOS,LABORATORIOS LETI S.A.V.,lab_antiguo,cobeca,lab,no,AMLODIPINA TAB 10MG X10 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2419.jpg
37429,ME39126/2,AMLODIPINA 10 MG X 20 TABLETAS,AMLODIPINA,,TABLETAS,CALOX INTERNATIONAL C.A.,lab_antiguo,cobeca,lab,si,AMLODIPINA TAB 10MG X20 KIMIC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92638.jpg
37433,ME31230,AMLODIPINA 5 MG X 30 TABLETAS,AMLODIPINA,,TABLETAS,LABORATORIO COFASA S.A.,lab_antiguo,cobeca,lab,no,AMLODIPINA TAB 5MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99081.jpg
37435,ME42534,AMOXICILINA - ACIDO CLAVULANICO 250 MG - 62.5 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMOXICILINA - ACIDO CLAVULANICO,Amoxicilina - Clavulanico Acido,POLVO PARA RECONSTITUCION,LABORATORIOS SPEFAR VENEZOLANOS S.A.,lab_antiguo,cobeca,lab,si,AMOXICILINA PVO PED 250MG/5ML 60ML CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg
37438,ME43040,AMOXICILINA 500 MG X 10 CAPSULAS,AMOXICILINA,,CAPSULAS,JIANGXI XIER KANGTAI PHARMACEUTICAL CO. LTD,lab_antiguo,cobeca,lab,no,AMOXICILINA CAP 500MG X 10 DISTR,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30058.jpg
37439,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 MG - 125 MG X 10 TABLETAS RECUBIERTAS,AMOXICILINA - ACIDO CLAVULANICO,,TABLETAS,SARTHI PHARMA,lab_antiguo,cobeca,lab,no,AMOXICILINA/AC CLAV TAB 500/125MGX10 ADN,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53232.jpg
37446,ME23745,AMOXICILINA 125 MG / 5 ML SUSPENSION,AMOXICILINA,,SUSPENSION ORAL,SM PHARMA C.A.,lab_antiguo,cobeca,lab,no,AMOXICILINA SUSP 125MG/5ML BIU,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26127.jpg
37452,ME22089,AMOXIVAL 250 MG / 5 ML POLVO PARA SUSPENSION ORAL,AMOXIVAL,Amoxicilina,POLVO PARA RECONSTITUCION,LABORATORIOS VALMOR C.A.,lab_antiguo,cobeca,lab,si,AMOXICILINA PVO PED 250MG/5ML 60ML CLX,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51378.jpg
37480,ME44489,APITENA 2.5 MG X 30 COMPRIMIDOS RECUBIERTOS,APITENA,Apixaban,COMPRIMIDOS,FARMACEUTICA PARAGUAYA S.A.,lab_antiguo,cobeca,lab,no,APIXABAN TAB/REC 2.5MG X 30 MT,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/30329.jpg
37485,ME37211/2,ARANDA 2.5 MG - 50 MG X 10 CAPSULAS,ARANDA,Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,lab_antiguo,farmanselmo,lab,no,ARANDA AMLODIPINA+LOSARTAN POTASICO 2.5MG/50MG x10 CAPSULAS FARMA (E),https://pccentro.net.ve/img/s/7/5/0/7/6/75076-large_default.webp
37510,ME43445,ATAPEC 100 MG X 30 TABLETAS RECUBIERTAS,ATAPEC,,TABLETAS,TITAN LABORATORIES PVT. LTD.,lab_antiguo,cobeca,lab,no,ATAPEC TAB 100MG X30 FC,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25050.jpg
37516,ME39468/3,ATORVACOF 20 MG X 30 TABLETAS RECUBIERTAS,ATORVACOF,Atorvastatina,TABLETAS,LABORATORIO COFASA S.A.,lab_antiguo,cobeca,lab,no,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg
37522,ME37775,ATORVASTATINA 20 MG X 30 TABLETAS RECUBIERTAS,ATORVASTATINA,,TABLETAS,EMPRESA LABORATORIOS MEDSOL,lab_antiguo,cobeca,lab,no,ATORVASTATINA TAB REC 20MG X30 PHARME,https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22227.jpg
